Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,SegmentedTotalIntracranialVol
sub-NDARFK947HD9,8969.2,482.6,17439.7,59256.7,8554.6,4504.9,6399.0,2123.7,1064.4,2431.9,20467.4,4171.8,1844.5,319506.3,643.8,4351.9,0.0,0.0,7104.6,384.5,17118.1,58944.3,8262.2,4538.4,6278.7,2037.0,4359.6,1987.0,777.8,4333.8,0.0,0.0,0.0,84.8,0.0,0.0,0.0,0.0,0.0,0.0,879.7,436.5,802.4,830.5,887.3,1585142.0,1241609.0,290542.926609,289809.705633,580352.632242,230856.0,229786.0,460642.0,67612.0,770328.632242,1429297.0,1085764.0,1668615.0,0.930069,0.979046,13.0,12.0,25.0,1704327.433205,1672137.2
sub-NDARFL411AT1,13934.5,695.4,11296.7,50924.4,7820.0,4191.6,6281.9,1784.7,1363.6,1915.7,16500.0,3949.2,1698.7,328655.7,598.4,3771.3,0.0,0.0,11526.0,551.3,11130.0,52635.7,7564.4,4335.2,6039.6,1846.1,4088.0,1646.8,628.3,3557.6,0.0,0.0,0.0,122.4,0.0,0.0,0.0,0.0,0.0,0.0,744.9,326.7,377.9,334.2,858.9,1457651.0,1097246.0,276665.742415,278107.741577,554773.483992,184213.0,186346.0,370559.0,61679.0,723282.483992,1329093.0,968688.0,1512856.0,0.932226,0.967532,33.0,17.0,50.0,1563624.180204,1514126.0
sub-NDARFM006EM0,3934.0,403.7,12878.6,45443.7,6690.1,4057.8,5163.4,1539.0,660.0,1915.5,16903.3,3905.9,1661.3,262550.7,749.7,3537.0,0.0,0.0,3213.2,380.8,11803.8,45512.0,6747.4,4176.8,5060.7,1501.7,3947.0,1600.3,677.4,3530.2,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,801.8,306.7,671.5,683.9,636.3,1388850.0,1106773.0,274528.066967,278480.414342,553008.481309,199719.0,201028.0,400747.0,56500.0,703466.481309,1271124.0,989047.0,1459417.0,0.923207,0.970115,15.0,8.0,23.0,1504374.845249,1464341.8
sub-NDARFM080VAF,3840.1,430.7,12119.0,54388.4,7189.3,4432.5,6600.0,1703.0,587.1,1370.3,16756.2,4033.1,1568.4,247353.2,713.8,3619.4,0.0,0.0,4041.4,471.3,11597.3,53176.6,7119.7,4553.8,6606.8,1758.5,4160.8,1504.6,668.2,3688.9,0.0,0.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,766.4,395.1,667.1,672.5,719.6,1376428.0,1113184.0,291208.909129,294326.549362,585535.458491,181336.0,182457.0,363793.0,61620.0,757657.458491,1243068.0,979824.0,1481912.0,0.917831,0.98817,40.0,35.0,75.0,1499653.172192,1435761.1
sub-NDARFM211KDJ,6450.2,889.0,13565.6,64459.4,7948.5,4261.6,5965.0,1754.8,856.7,2782.4,20827.5,4020.5,2013.2,230132.8,714.8,3971.0,0.0,0.0,6147.1,808.8,13320.4,65135.9,7851.6,4408.3,5818.4,1633.4,4249.6,1949.0,750.2,4227.3,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,520.4,366.8,344.1,325.3,741.2,1397464.0,1139754.0,281020.991134,281058.908709,562079.899842,186969.0,186889.0,373858.0,63127.0,757224.899842,1239572.0,981862.0,1531204.0,0.907295,0.994125,17.0,17.0,34.0,1540252.673564,1475053.5
sub-NDARFM229HHA,9692.2,576.5,14512.8,66662.1,7316.7,3870.5,5339.8,1899.1,1137.0,2453.7,18193.0,3526.2,1561.3,271328.3,650.4,3736.3,0.0,0.0,6770.5,494.7,14022.2,67437.6,7110.5,3991.0,5303.1,1841.5,3728.5,1745.7,578.5,3790.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,617.4,399.5,572.9,337.9,818.4,1454876.0,1158409.0,285832.031334,284903.417875,570735.449209,192091.0,193815.0,385906.0,58435.0,766327.449209,1290381.0,993914.0,1561591.0,0.9212,0.98877,14.0,17.0,31.0,1579326.940455,1506037.0
sub-NDARFM328XW4,5715.3,1019.8,13812.0,56657.7,8331.4,3914.0,6523.4,1705.3,862.3,2555.9,19746.2,4312.2,1808.2,306856.6,733.5,4275.6,0.0,0.0,4346.9,793.4,14378.1,54807.2,8010.6,4382.7,6084.6,1731.6,4549.2,2018.2,654.5,4217.0,0.0,0.0,0.0,212.5,0.0,0.0,0.0,0.0,0.0,0.0,714.4,477.9,555.5,401.6,703.5,1510510.0,1181152.0,268587.101083,269624.751351,538211.852434,234558.5,229481.5,464040.0,65823.0,718508.852434,1368901.0,1039543.0,1595818.0,0.921667,0.973719,10.0,18.0,28.0,1638889.108274,1582079.8
sub-NDARFM619GTV,5933.3,476.1,12135.0,59810.1,7879.6,4167.1,5986.5,1721.3,797.2,2696.2,19739.7,3945.6,1893.2,322079.4,570.6,4291.3,0.0,0.0,6594.4,407.1,12183.3,59855.7,7779.9,4389.3,5891.3,1702.0,4036.8,2061.3,612.3,4176.2,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,822.5,457.5,792.0,412.4,1133.4,1562969.0,1216240.0,290925.918212,290061.192768,580987.110981,222702.5,219685.5,442388.0,62784.0,765908.110981,1417046.0,1070317.0,1647045.0,0.913724,0.962875,10.0,5.0,15.0,1710548.828399,1642986.0
sub-NDARFM749LF3,3684.1,396.0,13430.8,61597.4,7808.6,4478.3,7629.7,2134.7,567.6,1694.5,20739.3,4310.5,2035.3,244555.0,812.7,4195.6,0.0,0.0,3581.9,355.5,12961.5,59783.1,7637.9,4665.3,7407.4,2075.9,4379.6,1954.9,825.9,3987.5,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1041.4,521.6,802.0,650.8,726.7,1516255.0,1250829.0,285281.815021,282734.525873,568016.340894,242939.5,241959.5,484899.0,67974.0,760149.340894,1366612.0,1101186.0,1630268.0,0.898159,0.965695,11.0,5.0,16.0,1688181.342147,1606096.6
sub-NDARFM811ZCE,4677.5,469.5,17558.8,60260.5,8065.5,4784.7,6622.3,1922.5,669.3,1917.5,24674.9,4621.5,2017.6,377621.0,760.2,4514.7,0.0,0.0,7133.2,480.1,17233.4,58511.3,7408.0,5006.7,6388.9,1786.3,4529.6,2239.2,808.3,4754.8,0.0,0.0,0.0,90.3,0.0,0.0,0.0,0.0,0.0,0.0,1181.6,703.3,1014.4,720.3,112.7,1808587.0,1428346.0,310203.822907,311902.916408,622106.739315,290411.0,291918.0,582329.0,68458.0,813202.739315,1652042.0,1271801.0,1809101.0,0.951503,0.951773,12.0,9.0,21.0,1900768.777095,1824777.2
