rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARPF682GDC,826.0,633.0,2190.0,1112.0,393.0,2759.0,5948.0,3354.0,970.0,4732.0,1934.0,2800.0,1643.0,3548.0,667.0,1235.0,1362.0,804.0,1686.0,1102.0,3552.0,1033.0,4278.0,3378.0,517.0,6277.0,6405.0,4668.0,3560.0,4284.0,397.0,371.0,388.0,1780.0,80585.8,1002547.0,1499067.555831
sub-NDARPF683XWV,1024.0,614.0,1937.0,1465.0,257.0,2798.0,4469.0,2286.0,777.0,4254.0,2161.0,2744.0,1369.0,3302.0,663.0,1222.0,1300.0,535.0,1388.0,1431.0,3598.0,924.0,4007.0,3307.0,454.0,4121.0,5490.0,4186.0,4124.0,3569.0,381.0,449.0,424.0,2283.0,73313.3,962731.0,1432115.660185
sub-NDARPF937BDQ,1238.0,799.0,1951.0,1615.0,461.0,3268.0,5550.0,3456.0,1051.0,6311.0,2907.0,3945.0,2292.0,3946.0,767.0,1460.0,1386.0,976.0,1562.0,1647.0,3540.0,1237.0,4366.0,4260.0,657.0,7035.0,7760.0,6185.0,4480.0,4930.0,423.0,551.0,355.0,2708.0,95075.9,1174792.0,1615034.160474
sub-NDARPG072ZZ7,820.0,1109.0,2421.0,1728.0,617.0,3495.0,6767.0,4250.0,817.0,5293.0,2908.0,3530.0,2366.0,4312.0,694.0,1758.0,1289.0,1022.0,1759.0,1819.0,5223.0,1627.0,6440.0,3248.0,777.0,7296.0,8196.0,5750.0,4401.0,4281.0,392.0,561.0,388.0,2511.0,99870.1,1242499.0,1687370.617393
sub-NDARPG134TF1,984.0,684.0,1824.0,1307.0,470.0,2628.0,5283.0,2747.0,789.0,5686.0,1793.0,3333.0,1439.0,3710.0,548.0,1415.0,1473.0,777.0,1689.0,1546.0,3130.0,1043.0,3986.0,3153.0,407.0,6229.0,6355.0,4407.0,3079.0,3142.0,336.0,498.0,235.0,2017.0,78141.0,850283.0,1343912.902882
sub-NDARPG387YY2,885.0,436.0,1454.0,1036.0,374.0,2424.0,4654.0,3675.0,810.0,3788.0,2303.0,2405.0,1866.0,3495.0,535.0,1472.0,1116.0,785.0,1379.0,1036.0,3533.0,1164.0,4084.0,3107.0,449.0,5358.0,7312.0,4979.0,3350.0,3732.0,378.0,462.0,294.0,2290.0,76419.1,1047462.0,1424961.145233
sub-NDARPG793CYM,1060.0,734.0,2022.0,1662.0,535.0,3436.0,6821.0,3770.0,931.0,5369.0,2597.0,2992.0,1921.0,3801.0,537.0,1830.0,1652.0,926.0,1971.0,1489.0,4230.0,1413.0,5267.0,4307.0,530.0,5806.0,7377.0,6171.0,4371.0,4042.0,353.0,525.0,432.0,2366.0,93246.3,1078257.0,1521419.978826
sub-NDARPG847LB8,669.0,1127.0,2787.0,2353.0,543.0,4140.0,6876.0,5028.0,1351.0,7124.0,3263.0,4772.0,2438.0,4856.0,860.0,2178.0,1811.0,1126.0,1886.0,2431.0,5081.0,1698.0,5495.0,5951.0,942.0,8359.0,9193.0,7359.0,3695.0,4506.0,431.0,732.0,338.0,2793.0,114193.0,1436913.0,2014042.752331
sub-NDARPG873DJP,944.0,624.0,2352.0,1523.0,520.0,3226.0,6404.0,3637.0,982.0,4841.0,2820.0,3197.0,2188.0,4020.0,577.0,1682.0,1563.0,1020.0,1789.0,1550.0,4987.0,1243.0,5124.0,5183.0,504.0,6775.0,7715.0,6425.0,4173.0,4317.0,317.0,579.0,380.0,2629.0,95810.4,1147082.0,1567016.91371
sub-NDARPG874CMG,944.0,914.0,3196.0,2114.0,431.0,4201.0,7700.0,4422.0,1312.0,7322.0,3334.0,3915.0,2490.0,5028.0,751.0,1707.0,1290.0,1126.0,1881.0,2121.0,4820.0,1489.0,5601.0,6052.0,981.0,8285.0,9580.0,7814.0,4628.0,4452.0,494.0,642.0,461.0,2723.0,114216.0,1341191.0,1803876.844669
