lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARNK055HVH,1545.0,817.0,2515.0,1801.0,616.0,4006.0,5734.0,3648.0,987.0,5354.0,2246.0,3435.0,1510.0,3884.0,775.0,1750.0,2038.0,646.0,1327.0,1622.0,4728.0,1345.0,5645.0,4926.0,785.0,5770.0,8061.0,6369.0,5339.0,5386.0,327.0,528.0,483.0,2722.0,98667.4,1207853.0,1723866.499664
sub-NDARNK139XNA,1015.0,688.0,2242.0,1286.0,393.0,3124.0,5181.0,3705.0,1382.0,6203.0,2937.0,3162.0,2181.0,3801.0,656.0,1361.0,2979.0,629.0,1635.0,1579.0,3829.0,1278.0,5718.0,4020.0,768.0,6374.0,8136.0,5056.0,4402.0,4188.0,325.0,495.0,482.0,2259.0,93469.6,1222567.0,1734853.780852
sub-NDARNK322PHW,797.0,697.0,1789.0,1176.0,496.0,2966.0,3990.0,3053.0,880.0,3563.0,2261.0,2256.0,1683.0,2865.0,699.0,1158.0,1486.0,637.0,1216.0,1129.0,3974.0,1027.0,4556.0,3108.0,865.0,4527.0,6814.0,5142.0,3801.0,4056.0,264.0,410.0,483.0,2077.0,75904.8,972355.0,1343993.476586
sub-NDARNK329VC3,969.0,539.0,1950.0,1247.0,361.0,2705.0,5109.0,2991.0,859.0,4126.0,2399.0,2555.0,1731.0,2989.0,562.0,1271.0,1484.0,584.0,1372.0,1255.0,3677.0,1097.0,4074.0,3916.0,593.0,4925.0,6717.0,5780.0,3860.0,3330.0,346.0,379.0,497.0,2048.0,78299.9,928052.0,1285900.213018
sub-NDARNK489GNR,1114.0,617.0,2376.0,1713.0,484.0,3459.0,5415.0,3550.0,947.0,5194.0,3049.0,3451.0,2128.0,3470.0,755.0,1466.0,1990.0,725.0,1573.0,1791.0,4524.0,1445.0,5035.0,3601.0,827.0,6015.0,8142.0,5139.0,4063.0,3448.0,301.0,512.0,403.0,2529.0,91249.4,1239344.0,1684642.613896
sub-NDARNK740ZVM,1196.0,682.0,2106.0,1553.0,514.0,3219.0,5485.0,3782.0,948.0,5970.0,3170.0,3508.0,2039.0,3572.0,813.0,1240.0,1471.0,819.0,1287.0,1535.0,4057.0,1430.0,5033.0,4073.0,883.0,5845.0,7007.0,5624.0,4039.0,3468.0,306.0,487.0,438.0,2574.0,90171.8,1166394.0,1604721.140045
sub-NDARNK768THB,1115.0,833.0,2785.0,1596.0,515.0,4465.0,5215.0,4088.0,1328.0,6720.0,3212.0,2994.0,2192.0,4273.0,896.0,1401.0,2171.0,711.0,1413.0,1434.0,4997.0,1733.0,5753.0,4362.0,1005.0,6271.0,9396.0,5987.0,5448.0,6759.0,359.0,433.0,748.0,3141.0,105751.0,1349149.0,1907557.424813
sub-NDARNK810AJA,1302.0,1065.0,3305.0,1757.0,585.0,4100.0,4920.0,4611.0,1174.0,6177.0,2982.0,3697.0,1882.0,3853.0,725.0,1586.0,2160.0,836.0,1558.0,1670.0,3464.0,1476.0,6468.0,3962.0,966.0,7729.0,9604.0,4044.0,4553.0,3241.0,365.0,715.0,505.0,3095.0,100133.0,1317969.0,1815070.620312
sub-NDARNL134VF0,948.0,534.0,1845.0,1683.0,421.0,2887.0,4705.0,3178.0,926.0,4970.0,2106.0,3057.0,1484.0,3205.0,539.0,1311.0,1537.0,720.0,1234.0,1638.0,3723.0,1151.0,4399.0,3541.0,522.0,4873.0,6786.0,5125.0,3639.0,3646.0,290.0,364.0,399.0,2092.0,79479.1,938157.0,1360290.050788
sub-NDARNL547DDH,1127.0,599.0,2748.0,1717.0,385.0,3154.0,4641.0,3759.0,1172.0,5349.0,2784.0,3140.0,1760.0,3610.0,750.0,1467.0,1798.0,746.0,1333.0,1494.0,5093.0,1389.0,5477.0,4340.0,602.0,6556.0,7889.0,6019.0,4982.0,3672.0,321.0,503.0,631.0,2425.0,93434.8,1219257.0,1715444.712719
